taxid	organism_name
520	Bordetella pertussis
94624	Bordetella petrii
1331258	Bordetella pseudohinzii
123899	Bordetella trematum
29518	Borreliella afzelii
143	Borrelia anserina
64897	Borreliella bissettii
144	Borrelia coriaceae
29520	Borrelia crocidurae
40834	Borrelia duttonii
140	Borrelia hermsii
40835	Borrelia hispanica
1674146	Borrelia mayonii
47466	Borrelia miyamotoi
141	Borrelia parkeri
44448	Borrelia persica
44449	Borrelia recurrentis
142	Borrelia turicatae
62088	Borreliella valaisiana
664662	Borreliella bavariensis
139	Borreliella burgdorferi
29519	Borreliella garinii
88916	Borreliella spielmanii
1287055	Brachyspira hampsonii
159	Brachyspira hyodysenteriae
84377	Brachyspira intermedia
84378	Brachyspira murdochii
52584	Brachyspira pilosicoli
1393	Brevibacillus brevis
1465	Brevibacillus laterosporus
33889	Brevibacterium casei
293	Brevundimonas diminuta
41276	Brevundimonas vesicularis
235	Brucella abortus
36855	Brucella canis
120577	Brucella ceti
29459	Brucella melitensis
444163	Brucella microti
236	Brucella ovis
